epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
109,14648.3,0.80296,1.51231,0.57344,1.16452,0,0.79792,0.73583,0.75311,0.53782,0.80707,0.7427,0.75946,0.50219,1.11271,2.23553,0.91157,1.32029,0,0.000218,0.000218,0.000218
110,14779.5,0.80087,1.46808,0.57108,1.14833,0,0.80475,0.74498,0.75564,0.54471,0.81164,0.75117,0.76378,0.5058,1.11104,2.23349,0.90339,1.33147,0,0.0002015,0.0002015,0.0002015
111,14931.4,0.67499,1.18988,0.40509,1.07066,0,0.80874,0.7262,0.74338,0.53169,0.81445,0.73155,0.74797,0.49437,1.1327,2.29518,0.93234,1.33931,0,0.000185,0.000185,0.000185
112,15062.2,0.6609,1.1625,0.38613,1.06308,0,0.80483,0.73583,0.74994,0.53711,0.83314,0.72727,0.75624,0.50059,1.12153,2.30689,0.94382,1.33804,0,0.0001685,0.0001685,0.0001685
113,15193.6,0.66298,1.17039,0.38491,1.06478,0,0.81629,0.72513,0.74834,0.53406,0.82852,0.73048,0.75519,0.49724,1.13533,2.29298,0.94887,1.34757,0,0.000152,0.000152,0.000152
114,15324.5,0.64342,1.14916,0.37063,1.05236,0,0.80001,0.74014,0.74365,0.53538,0.80369,0.74876,0.75293,0.49857,1.12979,2.29141,0.94356,1.35121,0,0.0001355,0.0001355,0.0001355
115,15455.6,0.64717,1.15039,0.36673,1.05216,0,0.8202,0.72299,0.74757,0.53883,0.83044,0.72812,0.7577,0.50216,1.11955,2.30327,0.94605,1.33666,0,0.000119,0.000119,0.000119
116,16166.1,0.63488,1.13157,0.36022,1.04653,0,0.82888,0.71123,0.74581,0.53465,0.83679,0.71658,0.75472,0.5029,1.10414,2.30408,0.94422,1.3257,0,0.0001025,0.0001025,0.0001025
117,16299.5,0.62526,1.13148,0.35651,1.03712,0,0.81864,0.72415,0.74789,0.5361,0.82655,0.72727,0.75621,0.50001,1.10823,2.31391,0.94474,1.32782,0,8.6e-05,8.6e-05,8.6e-05
118,16432.5,0.6319,1.12112,0.35426,1.04512,0,0.81401,0.72834,0.74966,0.5388,0.81912,0.73262,0.75264,0.50314,1.10025,2.32103,0.9566,1.32127,0,6.95e-05,6.95e-05,6.95e-05
119,16564.8,0.62226,1.12629,0.34741,1.02408,0,0.81602,0.73155,0.74818,0.53894,0.82098,0.7357,0.7543,0.50119,1.09476,2.31999,0.9488,1.31913,0,5.3e-05,5.3e-05,5.3e-05
120,16697.1,0.61369,1.11041,0.35256,1.02429,0,0.81415,0.73556,0.75216,0.54051,0.8329,0.72834,0.75753,0.5031,1.09955,2.32456,0.94368,1.32496,0,3.65e-05,3.65e-05,3.65e-05
